iter	Passed	Remaining
871	1988	291
872	1990	289
873	1991	287
874	1993	284
875	1995	282
876	1996	280
877	2000	278
878	2002	275
879	2003	273
880	2005	270
881	2007	268
882	2009	266
883	2011	263
884	2013	261
885	2017	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2027	247
891	2028	245
892	2030	243
893	2033	241
894	2034	238
895	2037	236
896	2038	234
897	2040	231
898	2042	229
899	2045	227
900	2047	224
901	2050	222
902	2051	220
903	2053	218
904	2054	215
905	2055	213
906	2057	210
907	2058	208
908	2060	206
909	2062	203
910	2064	201
911	2065	199
912	2066	196
913	2068	194
914	2070	192
915	2072	190
916	2073	187
917	2075	185
918	2077	183
919	2079	180
920	2081	178
921	2083	176
922	2084	173
923	2087	171
924	2088	169
925	2091	167
926	2093	164
927	2095	162
928	2097	160
929	2100	158
930	2101	155
931	2103	153
932	2105	151
933	2109	149
934	2111	146
935	2113	144
936	2114	142
937	2115	139
938	2117	137
939	2118	135
940	2120	132
941	2121	130
942	2123	128
943	2125	126
944	2127	123
945	2128	121
946	2130	119
947	2132	116
948	2133	114
949	2135	112
950	2137	110
951	2141	107
952	2143	105
953	2145	103
954	2147	101
955	2148	98
956	2151	96
957	2152	94
958	2156	92
959	2158	89
960	2161	87
961	2162	85
962	2164	83
963	2166	80
964	2167	78
965	2170	76
966	2172	74
967	2173	71
968	2175	69
969	2176	67
970	2178	65
971	2180	62
972	2181	60
973	2183	58
974	2186	56
975	2189	53
976	2193	51
977	2194	49
978	2196	47
979	2198	44
980	2201	42
981	2204	40
982	2205	38
983	2207	35
984	2209	33
985	2211	31
986	2212	29
987	2214	26
988	2218	24
989	2220	22
990	2222	20
991	2224	17
992	2226	15
993	2227	13
994	2229	11
995	2231	8
996	2233	6
997	2235	4
998	2236	2
999	2238	0
